Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-16,17:45:00,4.45,4.45,4.45,4.45,100,0
2017-02-16,19:40:00,4.4,4.4,4.4,4.4,100,0
2017-02-16,20:30:00,4.425,4.425,4.4,4.4,1500,0
2017-02-16,20:40:00,4.43,4.43,4.4,4.4,1218,0
2017-02-16,20:50:00,4.43,4.45,4.43,4.45,200,0
2017-02-16,21:15:00,4.425,4.425,4.425,4.425,100,0
2017-02-16,21:25:00,4.41,4.41,4.41,4.41,100,0
2017-02-16,21:50:00,4.42,4.42,4.42,4.42,100,0
2017-02-16,22:00:00,4.4,4.4,4.4,4.4,345,0
2017-02-17,15:35:00,4.45,4.45,4.45,4.45,825,0
2017-02-17,17:50:00,4.35,4.35,4.35,4.35,184,0
2017-02-17,20:10:00,4.3511,4.3511,4.3511,4.3511,300,0
2017-02-17,21:45:00,4.41,4.415,4.35,4.415,300,0
2017-02-17,21:55:00,4.42,4.42,4.42,4.42,100,0
2017-02-17,22:00:00,4.47,4.48,4.42,4.43,585,0
2017-02-21,15:35:00,4.45,4.45,4.45,4.45,101,0
2017-02-21,15:50:00,4.46,4.46,4.46,4.46,3489,0
2017-02-21,15:55:00,4.44,4.44,4.39,4.39,600,0
2017-02-21,16:00:00,4.4027,4.4027,4.4027,4.4027,100,0
2017-02-21,16:05:00,4.38,4.39,4.38,4.39,200,0
2017-02-21,16:10:00,4.39,4.4,4.39,4.4,1100,0
2017-02-21,16:15:00,4.3641,4.3641,4.3641,4.3641,500,0
2017-02-21,16:30:00,4.42,4.42,4.42,4.42,100,0
2017-02-21,16:50:00,4.45,4.455,4.45,4.455,200,0
2017-02-21,16:55:00,4.4243,4.4243,4.4148,4.4148,1000,0
2017-02-21,17:00:00,4.44,4.44,4.44,4.44,200,0
2017-02-21,17:05:00,4.366,4.366,4.366,4.366,500,0
2017-02-21,17:20:00,4.43,4.43,4.43,4.43,400,0
2017-02-21,17:35:00,4.45,4.45,4.45,4.45,220,0
2017-02-21,17:40:00,4.475,4.475,4.39,4.39,1280,0
