Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-21,14:35:00,1.66,1.77,1.53,1.6,503266,0
2017-03-21,14:40:00,1.61,1.75,1.57,1.58,774716,0
2017-03-21,14:45:00,1.58,1.61,1.45,1.4886,370842,0
2017-03-21,14:50:00,1.48,1.61,1.41,1.55,259908,0
2017-03-21,14:55:00,1.55,1.6,1.5,1.51,201726,0
2017-03-21,15:00:00,1.51,1.5101,1.45,1.4701,209974,0
2017-03-21,15:05:00,1.4899,1.55,1.4609,1.55,79795,0
2017-03-21,15:10:00,1.5466,1.58,1.51,1.51,99255,0
2017-03-21,15:15:00,1.5188,1.5599,1.51,1.5199,53834,0
2017-03-21,15:20:00,1.516,1.56,1.47,1.495,92646,0
2017-03-21,15:25:00,1.495,1.53,1.4927,1.53,16205,0
2017-03-21,15:30:00,1.53,1.55,1.48,1.52,55051,0
2017-03-21,15:35:00,1.5288,1.6,1.5221,1.57,110347,0
2017-03-21,15:40:00,1.57,1.57,1.53,1.55,22499,0
2017-03-21,15:45:00,1.5506,1.57,1.5458,1.558,19661,0
2017-03-21,15:50:00,1.5522,1.6,1.49,1.5277,195912,0
2017-03-21,15:55:00,1.5299,1.5499,1.5001,1.5001,37383,0
2017-03-21,16:00:00,1.51,1.53,1.5,1.5195,15670,0
2017-03-21,16:05:00,1.503,1.5198,1.49,1.4953,66052,0
2017-03-21,16:10:00,1.4841,1.51,1.46,1.51,111443,0
2017-03-21,16:15:00,1.5199,1.54,1.47,1.54,30572,0
2017-03-21,16:20:00,1.5299,1.5299,1.48,1.48,17220,0
2017-03-21,16:25:00,1.49,1.5,1.48,1.5,21664,0
2017-03-21,16:30:00,1.5091,1.54,1.502,1.5201,13537,0
2017-03-21,16:35:00,1.54,1.54,1.5102,1.52,30154,0
2017-03-21,16:40:00,1.5101,1.526,1.49,1.5,13838,0
2017-03-21,16:45:00,1.5263,1.57,1.51,1.5529,48057,0
2017-03-21,16:50:00,1.55,1.57,1.521,1.5469,29890,0
2017-03-21,16:55:00,1.538,1.55,1.53,1.55,14400,0
2017-03-21,17:00:00,1.56,1.57,1.55,1.56,25949,0
2017-03-21,17:05:00,1.5554,1.56,1.54,1.55,6488,0
2017-03-21,17:10:00,1.55,1.55,1.51,1.5191,5650,0
2017-03-21,17:15:00,1.529,1.53,1.5195,1.53,5200,0
2017-03-21,17:20:00,1.53,1.53,1.53,1.53,400,0
2017-03-21,17:25:00,1.5219,1.54,1.52,1.5256,12682,0
2017-03-21,17:30:00,1.53,1.57,1.5,1.5,49494,0
2017-03-21,17:35:00,1.5,1.5116,1.48,1.5104,23092,0
2017-03-21,17:40:00,1.51,1.53,1.51,1.5224,6000,0
2017-03-21,17:45:00,1.5297,1.54,1.5297,1.5326,3759,0
2017-03-21,17:50:00,1.5201,1.54,1.5201,1.535,3601,0
2017-03-21,17:55:00,1.5283,1.53,1.5283,1.53,900,0
2017-03-21,18:00:00,1.53,1.54,1.49,1.5,19102,0
2017-03-21,18:05:00,1.5197,1.54,1.5,1.54,9310,0
2017-03-21,18:10:00,1.5377,1.54,1.521,1.53,15974,0
2017-03-21,18:15:00,1.51,1.53,1.51,1.52,14884,0
2017-03-21,18:20:00,1.517,1.53,1.51,1.51,12044,0
