Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,80.22,80.78,80.22,80.78,7349,0
2017-04-10,15:40:00,80.635,80.83,80.5,80.575,4500,0
2017-04-10,15:45:00,80.68,81.04,80.68,80.99,24799,0
2017-04-10,15:50:00,80.95,81.06,80.91,81.04,13554,0
2017-04-10,15:55:00,80.99,81.1,80.9605,81.1,3180,0
2017-04-10,16:00:00,81.09,81.09,80.81,80.94,3894,0
2017-04-10,16:05:00,80.95,80.97,80.77,80.87,9503,0
2017-04-10,16:10:00,80.89,81.08,80.89,81.08,13803,0
2017-04-10,16:15:00,81.12,81.12,80.88,80.995,7600,0
2017-04-10,16:20:00,80.95,81.14,80.85,81.03,12128,0
2017-04-10,16:25:00,81.11,81.15,81,81.15,5175,0
2017-04-10,16:30:00,81.1,81.26,81.1,81.22,5271,0
2017-04-10,16:35:00,81.21,81.4,81.21,81.34,19311,0
2017-04-10,16:40:00,81.325,81.36,81.2,81.265,5983,0
2017-04-10,16:45:00,81.23,81.25,81.1601,81.25,3115,0
2017-04-10,16:50:00,81.24,81.265,81.21,81.21,2107,0
2017-04-10,16:55:00,81.23,81.23,81.14,81.14,4399,0
2017-04-10,17:00:00,81.17,81.22,81.09,81.1,5726,0
2017-04-10,17:05:00,81.1,81.2,81.09,81.17,8990,0
2017-04-10,17:10:00,81.15,81.15,81.055,81.06,3138,0
2017-04-10,17:15:00,81.09,81.16,81.09,81.16,1253,0
2017-04-10,17:20:00,81.18,81.2,81.15,81.165,3993,0
2017-04-10,17:25:00,81.21,81.24,81.18,81.19,4530,0
2017-04-10,17:30:00,81.2,81.2,81.1,81.125,2200,0
2017-04-10,17:35:00,81.13,81.175,80.875,80.875,11351,0
2017-04-10,17:40:00,80.85,80.9299,80.79,80.83,3400,0
2017-04-10,17:45:00,80.8399,80.8399,80.69,80.73,6999,0
2017-04-10,17:50:00,80.715,80.74,80.65,80.72,5916,0
2017-04-10,17:55:00,80.71,80.95,80.7,80.8699,7010,0
2017-04-10,18:00:00,80.82,80.88,80.78,80.865,5575,0
2017-04-10,18:05:00,80.865,80.865,80.65,80.65,28142,0
2017-04-10,18:10:00,80.67,80.8199,80.55,80.63,9855,0
2017-04-10,18:15:00,80.63,80.65,80.45,80.5,4211,0
2017-04-10,18:20:00,80.48,80.51,80.455,80.5,3500,0
2017-04-10,18:25:00,80.5,80.6199,80.45,80.59,6084,0
2017-04-10,18:30:00,80.56,80.62,80.55,80.6199,3600,0
2017-04-10,18:35:00,80.57,80.9299,80.56,80.9299,6702,0
2017-04-10,18:40:00,80.85,80.89,80.78,80.7899,2950,0
2017-04-10,18:45:00,80.85,80.94,80.85,80.94,3500,0
2017-04-10,18:50:00,80.92,81.17,80.92,81.15,8324,0
2017-04-10,18:55:00,81.16,81.31,81.16,81.31,7900,0
2017-04-10,19:00:00,81.28,81.38,81.26,81.345,12769,0
2017-04-10,19:05:00,81.32,81.36,81.17,81.23,19407,0
2017-04-10,19:10:00,81.1909,81.25,81.185,81.23,5814,0
2017-04-10,19:15:00,81.23,81.46,81.23,81.38,16159,0
2017-04-10,19:20:00,81.4,81.5,81.39,81.5,10138,0
