Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,156.42,157.295,156.21,156.31,8619,0
2017-04-10,15:45:00,157.025,157.3,157.025,157.3,200,0
2017-04-10,15:50:00,157.035,157.25,156.805,157.03,900,0
2017-04-10,15:55:00,156.78,157.21,156.78,157.01,3172,0
2017-04-10,16:00:00,157.18,157.48,157.18,157.47,2670,0
2017-04-10,16:05:00,157.54,157.54,157.29,157.405,2905,0
2017-04-10,16:10:00,157.5,157.61,157.42,157.61,700,0
2017-04-10,16:15:00,157.52,157.52,157.32,157.32,1800,0
2017-04-10,16:20:00,157.33,157.43,157.3,157.3,800,0
2017-04-10,16:25:00,157.25,157.27,157.09,157.09,800,0
2017-04-10,16:30:00,157.14,157.22,157.14,157.17,3000,0
2017-04-10,16:35:00,157.17,157.4,157.14,157.2,3000,0
2017-04-10,16:40:00,157.2,157.3,157.13,157.3,1700,0
2017-04-10,16:45:00,157.03,157.15,157.02,157.13,1300,0
2017-04-10,16:50:00,157.24,157.24,157.1,157.1,1200,0
2017-04-10,16:55:00,157.03,157.03,156.96,157.02,1144,0
2017-04-10,17:00:00,157.085,157.14,156.9,156.9,2619,0
2017-04-10,17:05:00,156.78,156.78,156.65,156.71,1200,0
2017-04-10,17:10:00,156.63,156.74,156.53,156.74,1600,0
2017-04-10,17:15:00,156.66,156.93,156.65,156.86,831,0
2017-04-10,17:20:00,156.84,156.88,156.63,156.64,1480,0
2017-04-10,17:25:00,156.62,156.62,156.53,156.595,1007,0
2017-04-10,17:30:00,156.6,156.71,156.58,156.69,4471,0
2017-04-10,17:35:00,156.69,156.69,156.55,156.6,4830,0
2017-04-10,17:40:00,156.62,156.69,156.54,156.54,4600,0
2017-04-10,17:45:00,156.52,156.53,156.48,156.52,800,0
2017-04-10,17:50:00,156.5,156.7,156.455,156.66,5906,0
2017-04-10,17:55:00,156.67,156.75,156.65,156.685,1100,0
2017-04-10,18:00:00,156.76,156.77,156.7,156.72,1400,0
2017-04-10,18:05:00,156.67,156.72,156.62,156.62,1000,0
2017-04-10,18:10:00,156.68,156.68,156.55,156.66,6210,0
2017-04-10,18:15:00,156.64,156.67,156.42,156.425,2700,0
2017-04-10,18:20:00,156.45,156.48,156.4,156.4,400,0
2017-04-10,18:25:00,156.375,156.49,156.35,156.44,1395,0
2017-04-10,18:30:00,156.405,156.5,156.39,156.45,700,0
2017-04-10,18:35:00,156.5,156.63,156.46,156.63,1800,0
2017-04-10,18:40:00,156.625,156.625,156.625,156.625,200,0
2017-04-10,18:45:00,156.61,156.64,156.55,156.59,600,0
2017-04-10,18:50:00,156.53,156.63,156.51,156.63,1500,0
2017-04-10,18:55:00,156.67,156.76,156.67,156.73,2300,0
2017-04-10,19:00:00,156.8,156.85,156.8,156.85,4426,0
2017-04-10,19:05:00,156.79,156.85,156.79,156.85,400,0
2017-04-10,19:10:00,156.9,156.93,156.84,156.84,1000,0
2017-04-10,19:15:00,156.84,156.86,156.81,156.83,1000,0
2017-04-10,19:20:00,156.9,156.93,156.81,156.81,700,0
2017-04-10,19:25:00,156.77,156.81,156.74,156.81,600,0
2017-04-10,19:30:00,156.77,156.77,156.67,156.67,955,0
2017-04-10,19:35:00,156.72,156.74,156.66,156.73,1649,0
2017-04-10,19:40:00,156.75,156.78,156.75,156.78,200,0
2017-04-10,19:45:00,156.85,156.85,156.8,156.8,1100,0
