Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-29,16:55:00,3.76,3.76,3.76,3.76,100,0
2016-09-29,18:55:00,3.595,3.595,3.595,3.595,514,0
2016-09-29,19:35:00,3.74,3.74,3.74,3.74,100,0
2016-09-29,19:50:00,3.6193,3.76,3.6193,3.76,1100,0
2016-09-29,22:00:00,3.76,3.76,3.76,3.76,100,0
2016-09-30,15:35:00,3.76,3.76,3.76,3.76,100,0
2016-09-30,15:55:00,3.87,3.87,3.87,3.87,100,0
2016-09-30,17:25:00,3.84,3.84,3.84,3.84,100,0
2016-09-30,18:00:00,3.76,3.76,3.75,3.75,300,0
2016-09-30,18:05:00,3.6401,3.86,3.6401,3.86,250,0
2016-09-30,18:40:00,3.8,3.8,3.8,3.8,100,0
2016-09-30,20:15:00,3.76,3.76,3.76,3.76,300,0
2016-09-30,20:20:00,3.8,3.8,3.67,3.67,500,0
2016-10-03,15:35:00,3.74,3.74,3.74,3.74,244,0
2016-10-03,18:30:00,3.69,3.69,3.65,3.65,2400,0
2016-10-03,19:10:00,3.65,3.65,3.59,3.59,400,0
2016-10-03,19:15:00,3.4899,3.55,3.4899,3.53,9400,0
2016-10-03,19:25:00,3.67,3.67,3.67,3.67,200,0
2016-10-03,19:55:00,3.6,3.6,3.5,3.53,400,0
2016-10-03,21:35:00,3.57,3.67,3.57,3.67,2200,0
2016-10-04,16:25:00,3.49,3.57,3.49,3.55,5400,0
2016-10-04,16:30:00,3.5099,3.55,3.5099,3.55,3600,0
2016-10-04,16:35:00,3.75,3.82,3.75,3.82,300,0
2016-10-04,17:05:00,3.68,3.68,3.68,3.68,900,0
2016-10-04,17:45:00,3.7301,3.7301,3.68,3.68,1458,0
2016-10-04,18:00:00,3.77,3.77,3.77,3.77,100,0
2016-10-04,18:35:00,3.765,3.765,3.75,3.75,300,0
2016-10-04,20:05:00,3.74,3.74,3.74,3.74,100,0
2016-10-04,20:30:00,3.7,3.7001,3.68,3.69,11900,0
2016-10-04,20:35:00,3.7,3.7,3.7,3.7,600,0
2016-10-04,20:45:00,3.7,3.7,3.69,3.69,1800,0
2016-10-04,21:10:00,3.7,3.7,3.69,3.7,900,0
2016-10-04,21:15:00,3.7,3.7,3.7,3.7,200,0
2016-10-04,21:25:00,3.7,3.7,3.7,3.7,100,0
2016-10-04,21:30:00,3.71,3.7342,3.7001,3.7001,1110,0
2016-10-04,21:35:00,3.7,3.7,3.69,3.69,200,0
2016-10-04,21:50:00,3.7,3.7,3.7,3.7,100,0
2016-10-04,21:55:00,3.74,3.74,3.74,3.74,100,0
2016-10-04,22:00:00,3.7,3.7,3.7,3.7,1600,0
2016-10-05,17:50:00,3.72,3.72,3.72,3.72,400,0
2016-10-05,18:25:00,3.75,3.75,3.75,3.75,200,0
2016-10-05,19:20:00,3.7288,3.7288,3.7288,3.7288,1600,0
2016-10-05,20:25:00,3.72,3.72,3.72,3.72,100,0
2016-10-05,22:00:00,3.73,3.73,3.72,3.72,700,0
2016-10-06,17:10:00,3.77,3.77,3.77,3.77,100,0
2016-10-06,20:25:00,3.7194,3.7194,3.7194,3.7194,100,0
2016-10-06,22:00:00,3.73,3.73,3.73,3.73,200,0
2016-10-07,16:05:00,3.7,3.7,3.7,3.7,300,0
2016-10-07,16:30:00,3.71,3.71,3.71,3.71,100,0
2016-10-07,17:15:00,3.67,3.676,3.67,3.676,4294,0
2016-10-07,17:35:00,3.71,3.71,3.71,3.71,100,0
2016-10-07,17:55:00,3.71,3.7167,3.67,3.7167,1000,0
2016-10-07,18:10:00,3.72,3.72,3.72,3.72,200,0
2016-10-07,18:55:00,3.73,3.73,3.73,3.73,100,0
2016-10-07,21:35:00,3.73,3.73,3.73,3.73,495,0
2016-10-07,22:00:00,3.74,3.75,3.74,3.75,662,0
2016-10-10,18:40:00,3.75,3.75,3.75,3.75,100,0
2016-10-10,20:30:00,3.75,3.75,3.75,3.75,4200,0
2016-10-10,21:30:00,3.7489,3.7493,3.7489,3.7493,495,0
2016-10-10,22:00:00,3.75,3.75,3.75,3.75,200,0
2016-10-11,15:35:00,3.66,3.66,3.66,3.66,710,0
2016-10-11,15:55:00,3.74,3.74,3.74,3.74,200,0
2016-10-11,17:00:00,3.7407,3.7407,3.7407,3.7407,134,0
2016-10-11,17:10:00,3.741,3.75,3.741,3.75,1200,0
2016-10-11,18:35:00,3.75,3.75,3.75,3.75,2400,0
2016-10-11,19:25:00,3.7469,3.7469,3.7469,3.7469,500,0
2016-10-11,19:35:00,3.741,3.78,3.74,3.77,1900,0
2016-10-11,19:50:00,3.7435,3.7435,3.7435,3.7435,1211,0
2016-10-11,20:00:00,3.75,3.75,3.75,3.75,100,0
2016-10-11,20:20:00,3.74,3.74,3.74,3.74,400,0
2016-10-11,20:45:00,3.74,3.74,3.74,3.74,500,0
2016-10-11,20:50:00,3.74,3.74,3.74,3.74,1669,0
2016-10-11,20:55:00,3.74,3.74,3.74,3.74,200,0
2016-10-11,21:25:00,3.78,3.78,3.78,3.78,100,0
2016-10-12,15:35:00,3.79,3.79,3.79,3.79,200,0
2016-10-12,15:45:00,3.77,3.77,3.77,3.77,100,0
2016-10-12,15:55:00,3.74,3.74,3.73,3.73,1100,0
2016-10-12,16:20:00,3.73,3.73,3.73,3.73,500,0
2016-10-12,16:25:00,3.72,3.72,3.72,3.72,400,0
2016-10-12,16:30:00,3.78,3.78,3.78,3.78,100,0
2016-10-12,16:45:00,3.78,3.78,3.78,3.78,100,0
2016-10-12,21:10:00,3.78,3.78,3.78,3.78,100,0
2016-10-13,15:35:00,3.79,3.79,3.79,3.79,100,0
2016-10-13,15:55:00,3.79,3.79,3.79,3.79,100,0
2016-10-13,16:10:00,3.75,3.75,3.75,3.75,100,0
2016-10-13,16:15:00,3.75,3.75,3.75,3.75,100,0
2016-10-13,16:35:00,3.4255,3.4255,3.4255,3.4255,100,0
2016-10-13,16:55:00,3.46,3.62,3.44,3.62,2800,0
2016-10-13,20:50:00,3.72,3.72,3.72,3.72,100,0
2016-10-13,21:10:00,3.69,3.77,3.68,3.68,400,0
2016-10-13,22:00:00,3.77,3.77,3.77,3.77,100,0
2016-10-14,15:35:00,3.71,3.71,3.71,3.71,578,0
2016-10-14,17:20:00,3.6801,3.6801,3.68,3.6801,600,0
2016-10-14,18:05:00,3.79,3.79,3.79,3.79,1000,0
2016-10-17,15:35:00,3.79,3.79,3.79,3.79,101,0
2016-10-17,17:45:00,3.52,3.77,3.42,3.77,1100,0
2016-10-17,17:50:00,3.61,3.61,3.61,3.61,100,0
2016-10-17,20:05:00,3.63,3.63,3.63,3.63,100,0
2016-10-17,20:45:00,3.66,3.66,3.66,3.66,100,0
2016-10-17,20:50:00,3.66,3.66,3.66,3.66,100,0
2016-10-17,22:00:00,3.75,3.75,3.75,3.75,100,0
2016-10-18,15:35:00,3.75,3.75,3.75,3.75,164,0
2016-10-18,21:20:00,3.69,3.69,3.69,3.69,1000,0
2016-10-18,21:25:00,3.651,3.7,3.65,3.7,4186,0
2016-10-18,21:30:00,3.7,3.7,3.69,3.69,3200,0
2016-10-18,21:35:00,3.7,3.7,3.7,3.7,100,0
2016-10-18,21:40:00,3.69,3.69,3.69,3.69,1000,0
2016-10-18,21:50:00,3.69,3.69,3.69,3.69,163,0
2016-10-18,21:55:00,3.69,3.691,3.69,3.69,6113,0
2016-10-18,22:00:00,3.61,3.68,3.61,3.68,300,0
2016-10-19,15:35:00,3.35,3.35,3.27,3.27,2250,0
2016-10-19,15:40:00,3.273,3.273,3.172,3.172,3200,0
2016-10-19,15:45:00,3.2,3.214,3.19,3.214,4800,0
2016-10-19,16:10:00,3.3,3.3,3.3,3.3,100,0
2016-10-19,16:30:00,3.28,3.28,3.28,3.28,200,0
2016-10-19,16:35:00,3.28,3.28,3.2484,3.2484,500,0
2016-10-19,16:40:00,3.28,3.28,3.28,3.28,100,0
2016-10-19,16:50:00,3.23,3.23,3.23,3.23,100,0
2016-10-19,16:55:00,3.2272,3.2272,3.1899,3.1899,4598,0
2016-10-19,17:05:00,3.2048,3.2048,3.2048,3.2048,330,0
2016-10-19,17:10:00,3.2651,3.27,3.2651,3.27,500,0
