Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,54.67,54.89,54.51,54.77,17020,0
2017-04-10,15:40:00,54.84,55.14,54.692,55.09,70601,0
2017-04-10,15:45:00,55.09,55.26,54.98,55.23,14567,0
2017-04-10,15:50:00,55.22,55.51,55.18,55.505,41635,0
2017-04-10,15:55:00,55.51,55.66,55.48,55.61,38218,0
2017-04-10,16:00:00,55.61,55.655,55.46,55.54,69229,0
2017-04-10,16:05:00,55.56,55.61,55.53,55.56,30466,0
2017-04-10,16:10:00,55.58,55.76,55.57,55.76,14833,0
2017-04-10,16:15:00,55.78,55.78,55.66,55.72,11626,0
2017-04-10,16:20:00,55.71,55.72,55.47,55.52,22531,0
2017-04-10,16:25:00,55.535,55.625,55.52,55.575,7970,0
2017-04-10,16:30:00,55.57,55.57,55.48,55.495,5382,0
2017-04-10,16:35:00,55.545,55.6,55.53,55.575,14507,0
2017-04-10,16:40:00,55.56,55.68,55.535,55.65,40438,0
2017-04-10,16:45:00,55.65,55.66,55.59,55.62,32560,0
2017-04-10,16:50:00,55.62,55.62,55.5,55.5,18550,0
2017-04-10,16:55:00,55.49,55.58,55.48,55.56,16654,0
2017-04-10,17:00:00,55.56,55.57,55.41,55.43,40741,0
2017-04-10,17:05:00,55.43,55.54,55.4,55.44,53665,0
2017-04-10,17:10:00,55.45,55.62,55.43,55.48,50469,0
2017-04-10,17:15:00,55.48,55.5,55.4,55.49,22612,0
2017-04-10,17:20:00,55.5,55.57,55.49,55.535,8009,0
2017-04-10,17:25:00,55.53,55.55,55.51,55.52,32199,0
2017-04-10,17:30:00,55.51,55.51,55.38,55.42,8705,0
2017-04-10,17:35:00,55.43,55.46,55.21,55.23,12776,0
2017-04-10,17:40:00,55.25,55.28,55.15,55.15,12693,0
2017-04-10,17:45:00,55.15,55.215,55.11,55.2,22053,0
2017-04-10,17:50:00,55.2154,55.29,55.19,55.271,5053,0
2017-04-10,17:55:00,55.3,55.38,55.26,55.37,5400,0
2017-04-10,18:00:00,55.37,55.39,55.33,55.39,3641,0
2017-04-10,18:05:00,55.4,55.4,55.36,55.4,5377,0
2017-04-10,18:10:00,55.43,55.43,55.34,55.37,7213,0
2017-04-10,18:15:00,55.36,55.36,55.2,55.215,9260,0
2017-04-10,18:20:00,55.19,55.24,55.17,55.22,5484,0
2017-04-10,18:25:00,55.22,55.37,55.22,55.33,19874,0
2017-04-10,18:30:00,55.32,55.37,55.31,55.33,18876,0
2017-04-10,18:35:00,55.33,55.455,55.29,55.455,8167,0
2017-04-10,18:40:00,55.43,55.45,55.39,55.44,8221,0
2017-04-10,18:45:00,55.45,55.48,55.43,55.48,4300,0
2017-04-10,18:50:00,55.49,55.49,55.45,55.48,5100,0
2017-04-10,18:55:00,55.49,55.54,55.49,55.51,6035,0
2017-04-10,19:00:00,55.5,55.52,55.39,55.39,9688,0
2017-04-10,19:05:00,55.39,55.41,55.35,55.35,4447,0
