Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,19.36,19.46,19.31,19.455,83879,0
2017-04-10,15:40:00,19.46,19.47,19.45,19.46,100041,0
2017-04-10,15:45:00,19.46,19.47,19.44,19.47,41554,0
2017-04-10,15:50:00,19.47,19.47,19.46,19.465,33484,0
2017-04-10,15:55:00,19.465,19.47,19.44,19.455,61412,0
2017-04-10,16:00:00,19.455,19.47,19.41,19.41,84123,0
2017-04-10,16:05:00,19.41,19.425,19.395,19.405,104373,0
2017-04-10,16:10:00,19.405,19.44,19.4,19.44,257182,0
2017-04-10,16:15:00,19.435,19.44,19.38,19.4,71776,0
2017-04-10,16:20:00,19.395,19.42,19.395,19.4,75968,0
2017-04-10,16:25:00,19.4,19.44,19.4,19.44,49643,0
2017-04-10,16:30:00,19.44,19.51,19.44,19.5,202504,0
2017-04-10,16:35:00,19.49,19.52,19.49,19.52,147360,0
2017-04-10,16:40:00,19.52,19.53,19.505,19.505,53266,0
2017-04-10,16:45:00,19.505,19.515,19.49,19.51,292443,0
2017-04-10,16:50:00,19.51,19.535,19.505,19.525,76322,0
2017-04-10,16:55:00,19.525,19.54,19.52,19.54,42355,0
2017-04-10,17:00:00,19.53,19.535,19.47,19.48,48467,0
2017-04-10,17:05:00,19.485,19.5,19.48,19.495,21223,0
2017-04-10,17:10:00,19.5,19.505,19.48,19.5,41617,0
2017-04-10,17:15:00,19.49,19.51,19.49,19.505,28930,0
2017-04-10,17:20:00,19.51,19.51,19.49,19.49,51536,0
2017-04-10,17:25:00,19.4947,19.5,19.46,19.47,39168,0
2017-04-10,17:30:00,19.4763,19.49,19.4763,19.49,18963,0
2017-04-10,17:35:00,19.48,19.49,19.45,19.45,51034,0
2017-04-10,17:40:00,19.455,19.46,19.44,19.44,27866,0
2017-04-10,17:45:00,19.45,19.45,19.41,19.415,51477,0
2017-04-10,17:50:00,19.42,19.43,19.41,19.43,11538,0
2017-04-10,17:55:00,19.43,19.445,19.41,19.415,65608,0
2017-04-10,18:00:00,19.415,19.42,19.39,19.4,47089,0
2017-04-10,18:05:00,19.4,19.42,19.395,19.4,36552,0
2017-04-10,18:10:00,19.41,19.42,19.41,19.42,25777,0
2017-04-10,18:15:00,19.42,19.42,19.35,19.35,57349,0
2017-04-10,18:20:00,19.36,19.37,19.355,19.37,22938,0
2017-04-10,18:25:00,19.36,19.38,19.36,19.365,41001,0
2017-04-10,18:30:00,19.37,19.39,19.36,19.39,22839,0
2017-04-10,18:35:00,19.385,19.4,19.3847,19.395,22346,0
2017-04-10,18:40:00,19.4,19.4,19.395,19.4,9393,0
2017-04-10,18:45:00,19.4,19.405,19.39,19.4,29862,0
2017-04-10,18:50:00,19.4,19.43,19.395,19.41,177657,0
2017-04-10,18:55:00,19.415,19.43,19.41,19.41,155153,0
2017-04-10,19:00:00,19.41,19.42,19.4,19.4,54923,0
2017-04-10,19:05:00,19.41,19.41,19.4,19.41,8316,0
2017-04-10,19:10:00,19.405,19.42,19.395,19.405,201957,0
2017-04-10,19:15:00,19.405,19.42,19.4,19.41,34010,0
2017-04-10,19:20:00,19.41,19.43,19.4,19.43,1118144,0
2017-04-10,19:25:00,19.43,19.45,19.425,19.45,90680,0
2017-04-10,19:30:00,19.445,19.45,19.43,19.43,33026,0
2017-04-10,19:35:00,19.435,19.44,19.43,19.435,19168,0
2017-04-10,19:40:00,19.44,19.47,19.435,19.47,71544,0
2017-04-10,19:45:00,19.47,19.48,19.47,19.48,61174,0
2017-04-10,19:50:00,19.48,19.49,19.472,19.49,32328,0
2017-04-10,19:55:00,19.49,19.5,19.48,19.5,75271,0
2017-04-10,20:00:00,19.5,19.52,19.49,19.52,31842,0
2017-04-10,20:05:00,19.51,19.52,19.46,19.46,67550,0
2017-04-10,20:10:00,19.465,19.48,19.46,19.48,25946,0
2017-04-10,20:15:00,19.48,19.48,19.47,19.48,29809,0
2017-04-10,20:20:00,19.48,19.48,19.4701,19.48,10617,0
2017-04-10,20:25:00,19.48,19.485,19.47,19.48,31457,0
2017-04-10,20:30:00,19.48,19.48,19.45,19.455,43339,0
2017-04-10,20:35:00,19.45,19.47,19.45,19.47,21999,0
2017-04-10,20:40:00,19.47,19.485,19.465,19.475,36701,0
2017-04-10,20:45:00,19.48,19.49,19.46,19.49,44364,0
2017-04-10,20:50:00,19.49,19.51,19.48,19.505,33065,0
2017-04-10,20:55:00,19.51,19.51,19.5,19.51,13041,0
2017-04-10,21:00:00,19.5,19.515,19.485,19.5,131275,0
2017-04-10,21:05:00,19.49,19.5,19.49,19.5,7390,0
2017-04-10,21:10:00,19.5,19.5,19.48,19.5,113197,0
2017-04-10,21:15:00,19.495,19.5,19.49,19.49,15646,0
2017-04-10,21:20:00,19.49,19.51,19.49,19.49,86968,0
2017-04-10,21:25:00,19.49,19.495,19.455,19.46,81863,0
2017-04-10,21:30:00,19.455,19.47,19.45,19.47,28945,0
2017-04-10,21:35:00,19.47,19.47,19.46,19.47,28247,0
2017-04-10,21:40:00,19.47,19.48,19.46,19.475,62545,0
2017-04-10,21:45:00,19.48,19.48,19.46,19.465,159630,0
2017-04-10,21:50:00,19.46,19.465,19.44,19.445,210190,0
2017-04-10,21:55:00,19.44,19.45,19.43,19.43,153845,0
2017-04-10,22:00:00,19.43,19.43,19.41,19.42,664467,0
2017-04-11,15:35:00,19.42,19.45,19.38,19.44,57989,0
2017-04-11,15:40:00,19.45,19.465,19.43,19.46,27827,0
2017-04-11,15:45:00,19.46,19.46,19.395,19.42,87176,0
2017-04-11,15:50:00,19.41,19.415,19.38,19.395,42509,0
2017-04-11,15:55:00,19.395,19.41,19.39,19.395,60324,0
2017-04-11,16:00:00,19.39,19.41,19.36,19.385,68277,0
2017-04-11,16:05:00,19.39,19.44,19.38,19.44,69569,0
2017-04-11,16:10:00,19.435,19.44,19.39,19.39,40965,0
2017-04-11,16:15:00,19.39,19.42,19.39,19.4,52262,0
2017-04-11,16:20:00,19.4,19.415,19.39,19.3999,35490,0
2017-04-11,16:25:00,19.395,19.4,19.36,19.365,66772,0
2017-04-11,16:30:00,19.37,19.385,19.36,19.36,315488,0
2017-04-11,16:35:00,19.365,19.37,19.32,19.33,61584,0
2017-04-11,16:40:00,19.32,19.35,19.32,19.35,43730,0
2017-04-11,16:45:00,19.34,19.35,19.3,19.32,76387,0
2017-04-11,16:50:00,19.325,19.345,19.32,19.335,29948,0
2017-04-11,16:55:00,19.33,19.335,19.3,19.31,80935,0
2017-04-11,17:00:00,19.31,19.33,19.29,19.32,55206,0
2017-04-11,17:05:00,19.315,19.33,19.3,19.325,25180,0
2017-04-11,17:10:00,19.325,19.34,19.31,19.325,42607,0
2017-04-11,17:15:00,19.325,19.325,19.29,19.3,48408,0
2017-04-11,17:20:00,19.29,19.32,19.28,19.315,53839,0
2017-04-11,17:25:00,19.31,19.31,19.29,19.3,13226,0
2017-04-11,17:30:00,19.305,19.305,19.28,19.295,37296,0
2017-04-11,17:35:00,19.3,19.31,19.29,19.31,10540,0
2017-04-11,17:40:00,19.31,19.335,19.3,19.32,104650,0
2017-04-11,17:45:00,19.32,19.325,19.31,19.32,18835,0
2017-04-11,17:50:00,19.31,19.33,19.3,19.325,53700,0
2017-04-11,17:55:00,19.315,19.345,19.31,19.345,57267,0
2017-04-11,18:00:00,19.345,19.345,19.33,19.33,36490,0
2017-04-11,18:05:00,19.335,19.345,19.32,19.335,62072,0
2017-04-11,18:10:00,19.34,19.35,19.34,19.35,7450,0
2017-04-11,18:15:00,19.34,19.36,19.34,19.36,42750,0
2017-04-11,18:20:00,19.36,19.36,19.35,19.355,18795,0
2017-04-11,18:25:00,19.36,19.37,19.35,19.36,27142,0
2017-04-11,18:30:00,19.365,19.37,19.36,19.36,22980,0
2017-04-11,18:35:00,19.365,19.375,19.35,19.3501,61996,0
2017-04-11,18:40:00,19.35,19.36,19.34,19.34,22098,0
2017-04-11,18:45:00,19.345,19.35,19.34,19.34,10085,0
2017-04-11,18:50:00,19.35,19.35,19.34,19.35,4900,0
2017-04-11,18:55:00,19.345,19.36,19.34,19.35,51030,0
2017-04-11,19:00:00,19.35,19.35,19.345,19.345,900,0
2017-04-11,19:05:00,19.345,19.35,19.34,19.35,27841,0
2017-04-11,19:10:00,19.345,19.36,19.325,19.325,71816,0
2017-04-11,19:15:00,19.3201,19.335,19.32,19.325,41068,0
2017-04-11,19:20:00,19.3299,19.33,19.32,19.325,17568,0
2017-04-11,19:25:00,19.33,19.33,19.3,19.31,74567,0
2017-04-11,19:30:00,19.31,19.315,19.3046,19.3046,32617,0
2017-04-11,19:35:00,19.305,19.32,19.3,19.305,44943,0
2017-04-11,19:40:00,19.305,19.32,19.3,19.32,54755,0
2017-04-11,19:45:00,19.315,19.315,19.29,19.305,58341,0
2017-04-11,19:50:00,19.3099,19.31,19.3,19.3,14832,0
2017-04-11,19:55:00,19.305,19.31,19.3,19.31,4355,0
2017-04-11,20:00:00,19.31,19.31,19.3,19.31,15662,0
2017-04-11,20:05:00,19.31,19.32,19.3,19.32,76439,0
2017-04-11,20:10:00,19.32,19.32,19.3,19.32,40545,0
2017-04-11,20:15:00,19.32,19.32,19.3,19.31,35628,0
2017-04-11,20:20:00,19.32,19.335,19.315,19.33,506970,0
2017-04-11,20:25:00,19.33,19.37,19.33,19.37,71265,0
2017-04-11,20:30:00,19.37,19.41,19.365,19.41,54486,0
2017-04-11,20:35:00,19.404,19.425,19.4,19.425,75572,0
2017-04-11,20:40:00,19.42,19.43,19.4109,19.425,23957,0
2017-04-11,20:45:00,19.425,19.43,19.41,19.42,87412,0
2017-04-11,20:50:00,19.42,19.43,19.41,19.425,82670,0
2017-04-11,20:55:00,19.425,19.45,19.41,19.45,152360,0
2017-04-11,21:00:00,19.445,19.45,19.43,19.435,38499,0
2017-04-11,21:05:00,19.435,19.435,19.4,19.405,85461,0
2017-04-11,21:10:00,19.4,19.47,19.39,19.45,495148,0
2017-04-11,21:15:00,19.45,19.505,19.44,19.5,973248,0
2017-04-11,21:20:00,19.5,19.52,19.475,19.475,181534,0
2017-04-11,21:25:00,19.48,19.485,19.45,19.48,112774,0
2017-04-11,21:30:00,19.48,19.48,19.47,19.475,27856,0
2017-04-11,21:35:00,19.48,19.48,19.47,19.475,52860,0
2017-04-11,21:40:00,19.475,19.48,19.46,19.48,109778,0
2017-04-11,21:45:00,19.475,19.49,19.47,19.48,132381,0
2017-04-11,21:50:00,19.475,19.485,19.47,19.475,146799,0
2017-04-11,21:55:00,19.47,19.5,19.47,19.49,195972,0
2017-04-11,22:00:00,19.49,19.52,19.48,19.52,588734,0
2017-04-12,15:35:00,19.51,19.5118,19.45,19.46,44630,0
2017-04-12,15:40:00,19.465,19.48,19.45,19.455,30615,0
2017-04-12,15:45:00,19.46,19.48,19.43,19.43,62093,0
2017-04-12,15:50:00,19.425,19.43,19.39,19.39,54254,0
2017-04-12,15:55:00,19.39,19.41,19.37,19.395,33250,0
2017-04-12,16:00:00,19.395,19.4,19.38,19.38,42371,0
2017-04-12,16:05:00,19.385,19.425,19.385,19.425,55588,0
2017-04-12,16:10:00,19.425,19.46,19.425,19.44,40191,0
2017-04-12,16:15:00,19.44,19.445,19.41,19.43,75221,0
2017-04-12,16:20:00,19.435,19.47,19.435,19.4599,60817,0
2017-04-12,16:25:00,19.46,19.46,19.43,19.43,20884,0
2017-04-12,16:30:00,19.43,19.43,19.41,19.41,35844,0
2017-04-12,16:35:00,19.415,19.43,19.41,19.42,27211,0
2017-04-12,16:40:00,19.42,19.46,19.42,19.46,88228,0
2017-04-12,16:45:00,19.46,19.49,19.455,19.47,67108,0
2017-04-12,16:50:00,19.47,19.48,19.45,19.48,26532,0
2017-04-12,16:55:00,19.475,19.495,19.47,19.48,80783,0
2017-04-12,17:00:00,19.48,19.49,19.47,19.48,39078,0
2017-04-12,17:05:00,19.475,19.48,19.46,19.47,25587,0
2017-04-12,17:10:00,19.47,19.51,19.465,19.51,35335,0
2017-04-12,17:15:00,19.51,19.52,19.5,19.52,14120,0
2017-04-12,17:20:00,19.51,19.52,19.5,19.515,25569,0
2017-04-12,17:25:00,19.52,19.52,19.49,19.5,37181,0
