Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-06,18:45:00,21.86,21.88,21.86,21.88,900,0
2017-03-13,19:50:00,21.8,21.8,21.8,21.8,100,0
2017-03-13,20:40:00,21.8609,21.8609,21.8609,21.8609,286,0
2017-03-13,20:55:00,21.8632,21.9,21.8632,21.9,300,0
2017-03-17,14:35:00,21.91,21.91,21.91,21.91,100,0
2017-03-20,17:00:00,21.91,21.91,21.91,21.91,100,0
2017-03-21,19:10:00,21.9,21.9,21.9,21.9,300,0
2017-03-30,16:05:00,21.5875,21.5875,21.5875,21.5875,250,0
2017-04-04,17:20:00,21.86,21.89,21.86,21.89,2000,0
2017-04-06,17:05:00,22.16,22.16,22.16,22.16,100,0
2017-04-06,19:00:00,22.14,22.14,22.14,22.14,100,0
2017-04-10,15:35:00,21.97,21.97,21.97,21.97,100,0
2017-04-11,15:35:00,22.05,22.05,22.05,22.05,100,0
2017-04-11,21:45:00,22.24,22.24,22.22,22.23,700,0
2017-04-11,21:50:00,22.24,22.24,22.24,22.24,500,0
2017-04-17,15:35:00,21.9,21.9,21.9,21.9,101,0
